#k-distance eigenvalue[eV]
0.00000000 -9.64120000
0.11134435 -9.80440000
0.22268869 -10.17510000
0.33403304 -10.59670000
0.44537737 -10.99450000
0.55672172 -11.33770000
0.66806606 -11.61270000
0.77941041 -11.81240000
0.89075474 -11.93340000
1.00209910 -11.97390000
1.00209910 -11.97390000
1.13066848 -11.91990000
1.25923784 -11.75810000
1.38780723 -11.48970000
1.51637659 -11.11660000
1.64494597 -10.64170000
1.77351533 -10.06850000
1.90208472 -9.40350000
2.03065408 -8.65340000
2.15922346 -7.82740000
2.15922346 -7.82740000
2.20467960 -7.83020000
2.25013575 -7.83900000
2.29559187 -7.85490000
2.34104801 -7.87990000
2.38650415 -7.91660000
2.43196030 -7.96840000
2.47741642 -8.03800000
2.52287256 -8.12840000
2.56832871 -8.24100000
2.56832871 -8.24100000
2.70469711 -8.70810000
2.84106554 -9.30340000
2.97743395 -9.92930000
3.11380236 -10.51580000
3.25017078 -11.02410000
3.38653919 -11.43330000
3.52290760 -11.73190000
3.65927603 -11.91320000
3.79564443 -11.97390000

0.00000000 -6.98060000
0.11134435 -6.74110000
0.22268869 -6.14170000
0.33403304 -5.34310000
0.44537737 -4.42500000
0.55672172 -3.42830000
0.66806606 -2.38560000
0.77941041 -1.34760000
0.89075474 -0.43360000
1.00209910 0.00000000
1.00209910 0.00000000
1.13066848 -0.34020000
1.25923784 -1.11310000
1.38780723 -2.04210000
1.51637659 -3.02510000
1.64494597 -4.02340000
1.77351533 -5.01860000
1.90208472 -5.99500000
2.03065408 -6.93620000
2.15922346 -7.82740000
2.15922346 -7.82740000
2.20467960 -7.82010000
2.25013575 -7.79820000
2.29559187 -7.76170000
2.34104801 -7.71060000
2.38650415 -7.64470000
2.43196030 -7.56430000
2.47741642 -7.46960000
2.52287256 -7.36040000
2.56832871 -7.23660000
2.56832871 -7.23660000
2.70469711 -6.78010000
2.84106554 -6.19620000
2.97743395 -5.48880000
3.11380236 -4.66190000
3.25017078 -3.72280000
3.38653919 -2.68850000
3.52290760 -1.59300000
3.65927603 -0.54820000
3.79564443 0.00000000

0.00000000 -1.20520000
0.11134435 -1.18290000
0.22268869 -1.11630000
0.33403304 -1.00680000
0.44537737 -0.85480000
0.55672172 -0.66600000
0.66806606 -0.45340000
0.77941041 -0.23870000
0.89075474 -0.06790000
1.00209910 0.00000000
1.00209910 0.00000000
1.13066848 -0.21370000
1.25923784 -0.68130000
1.38780723 -1.19750000
1.51637659 -1.68050000
1.64494597 -2.09450000
1.77351533 -2.42530000
1.90208472 -2.66600000
2.03065408 -2.81240000
2.15922346 -2.86130000
2.15922346 -2.86130000
2.20467960 -2.90730000
2.25013575 -3.03430000
2.29559187 -3.21700000
2.34104801 -3.42850000
2.38650415 -3.64680000
2.43196030 -3.85470000
2.47741642 -4.04010000
2.52287256 -4.19420000
2.56832871 -4.31120000
2.56832871 -4.31120000
2.70469711 -4.42260000
2.84106554 -4.21050000
2.97743395 -3.76180000
3.11380236 -3.14640000
3.25017078 -2.41890000
3.38653919 -1.63380000
3.52290760 -0.86680000
3.65927603 -0.25220000
3.79564443 0.00000000

0.00000000 -1.20520000
0.11134435 -1.18290000
0.22268869 -1.11630000
0.33403304 -1.00680000
0.44537737 -0.85480000
0.55672172 -0.66600000
0.66806606 -0.45340000
0.77941041 -0.23870000
0.89075474 -0.06790000
1.00209910 0.00000000
1.00209910 0.00000000
1.13066848 -0.21370000
1.25923784 -0.68130000
1.38780723 -1.19750000
1.51637659 -1.68050000
1.64494597 -2.09450000
